投资金额及投资人,投资金额：1200万美元投资人：__及其关联基金
回购,（1）  如果遇有下列情形之一，[]有权在知晓下述任一情形发生后提出回购要求，公司承担无限回购责任：公司不能在2023年12月31日之前完成资本市场首发上市；公司的主营业务发生重大变化；公司创始团队发生重大变化，或预计超过六个月以上不能为公司服务；公司现有股东、核心人员从事与公司利益相冲突的工作，且对公司造成了重大损失，或现有股东及公司的陈述及承诺被发现与事实不符导致投资方利益受到严重损害；公司被托管或进入破产程序。（2）  回购款项应在收到[]回购通知后的1个月内支付完毕，逾期应按照央行人民币贷款和存款基准利率支付相应利息。（3）  回购价格为以下两种方式孰高原则计算：①  []按实际投资总额以年回报率8%计算的投资本金和收益之和（包括支付给投资方税后股利）。公式为：[]实际投资总额×[1+8%×实际天数/365]，实际天数为投资人支付投资款之日起至收到回购款本息之日止；②  []回购时其股份所对应的净资产金额。
竞业禁止,公司实际控制人承诺，公司实际控制人以及公司核心高管团队（名字见附件一【请提供名单】）在[]投资后5年内，不得从事非公司业务之外的其他任何业务，不得在除公司以外的任何企业任职，不得从事与公司业务相同、相似、相近的业务。如果公司破产清算或有其他重大变故，公司实际控制人需要在履行完本协议所约定的回购义务且获得[]书面同意后从事其他相关业务。
股权激励,在[]正式投资公司前，公司应当制定员工股权激励方案并设立员工持股平台，该员工持股平台占公司股权比例不超过10%。获得股权激励的员工需签署竞业禁止协议，且应与后续的业绩挂钩，该等股权激励方案经董事会全票通过后执行。
资金用途及支付,公司此次融资资金主要用于公司运营和业务扩张所需。 []的投资资金将按照正式投资协议约定的时间和方式由投资方予以支付。
投资费用,本次融资、尽职调查发生的相关费用在20万元以内由融资方承担。
交易交割条件,[]认可自身或其委托机构已经完成的对公司法律、财务的尽职调查，同时投资交易的达成仍需满足以下条件：（1）  []拥有公司与本轮其他所有投资方签署的投资条款或任何补充协议一致对等的权力。（2）  投资协议、股东协议和交易主要相关文件已被各相关当事方适当签署。（3）  公司的经营没有发生任何重大不利变化。（4）  依据所有现有适用法律，允许[]认购公司股份。
现有股东义务,在[]进行尽职调查以及签署交易文件之前，现有股东和实际控制人将承担下述义务：（1）  保证公司股东、实际控制人及公司所聘任的管理团队，与其原来所任职的公司不会已存在或存在潜在的任何法律纠纷。（2）  保证公司股东、实际控制人及公司管理团队的原来任职公司与公司不存在潜在的包括但不限于知识产权的任何法律纠纷。（3）  保证过往对公司资产、人员、业务及商业实质的陈述没有在投资方投资过程及行为发生前后发生任何实质性变化。（4）  保证公司的会计凭证记录完整，财务数据的披露真实。（5）  保证公司没有未披露的重大诉讼，承诺公司在所有重大方面没有任何未尽披露的违法行为。（6）  保证公司的主要管理人员、核心技术人员已或将于近期内与公司签订《竞业禁止协议》或与之相当的类似协议，约定在其任职期间内不得从事或帮助他人从事与公司形成竞争关系的任何其它业务经营活动，在离开公司 至少2年内不得在与公司经营业务相关的企业任职。（7）  保证公司没有应披露未披露的信息，以此产生的损失均有现有股东承担。
市场禁售,[]同意接受公司股票在证券交易所上市售股锁定限制，并接受证券监管和相关部门在公司股票上市时对股东就禁售期的约束性要求。同时在公司公开招股之前，未经[]同意，公司现有股东（除财务投资者外）、实际控制人不得以任何形式转让其持有的公司及其子公司股份（“回购约定”不受此限制）。
对公司增发股票的优先购买权,[]将有权优先按其所持股份在总股本中所占的比例以相同价格和条件购买公司提供给其他潜在投资者的任何有价权益证券（以下简称“新证券”）。“新证券”不包括：（1）  依据董事会批准的激励协议、股票期权计划、股票红利或奖金或激励合同，可能派发给公司的雇员、董事、承包商、顾问的普通股（和/或期权或权证）；（2）  董事会批准的派发给战略合作者的普通股和/或优先股（和/或期权或权证）；（3）  董事会批准发行的与公司收购其他实体或他们的主要资产相关的普通股和/或优先股（和/或期权或权证）以及（4）  与股票拆分、股票红利、资本重构或类似交易有关而发行的普通股和/或优先股（和/或期权或权证）。本优先购股份在公开招股前一日终止。公司承诺，本次融资后如公司再融资，且该等增资由除本协议所述投资方之外的第三方认购，公司的估值不能低于本轮融资估值。
优先承购权和共同出售权协议,如任何现有股东或实际控制人或本轮新进入投资人经投资方同意可以对外转让股份的，在同等价格和条件下，[]拥有优先受让该部分股份的权利。自双方达成一致意见之日起终止。若公司与其它投资人达成的投资协议与本条款不一致，应以本协议条款为准。针对现有股东、实际控制人向与其非关联的第三方出让股份且[]放弃优先购买权的行使，则[]将有权以相同的交易条件，向该第三方出售其所持有的公司股份。投资方根据本款所可以共售的公司股份数额为：[]所持有的公司股份数额 ×（现有股东出售的公司股份／该现有股东所持公司股份总额）。自双方达成一致意见之日起终止。如果上述该等股权出售将导致公司实际控制人发生变化，则[]有权要求将[]所持有的全部公司股份数额转让给受让方。
一般反稀释,各方同意，若公司增发股份类证券且增发时公司的估值低于[]本次投资时对公司的估值或新的投资者根据某种协议或安排的最终投资价格低于本协议[]的投资价格的，则[]有权要求公司根据新的投资价格调整新股东股份比例，直至与新的投资者价格与[]本次投资时价格的加权平均价格一致。如届时依据法律规定公司无法履行前述义务的，实际控制人承诺承担无限连带责任。各方同意，投资完成后，如公司给予任一现有股东享有的权利优于本协议投资方享有的权利的，则本协议投资方将自动享有该等权利。
信息知情权,[]有权得到公司及其附属企业的财务信息，包括：（1）  每日历月度最后一日起15天内，提供月度合并管理帐，含利润表、资产负债表和现金流量表及经营管理重大事项通报；（2）  每日历季度最后一日起30天内，提供季度合并管理帐，含利润表、资产负债表和现金流量表及经营管理重大事项通报；（3）  每日历年结束后45天内，提供公司的年度合并管理帐，及经营管理重大事项通报；（4）  每日历年结束后120天内，提供公司的年度合并并经由投资方认可的会计师事务所按照中国会计准则审计的年度财务报告；（5）  每日历年/财务年度结束前至少30天，提供公司的年度经营计划；按照投资方要求的格式提供其它统计数据、其它交易和财务信息，以便他们被适当告知公司信息及保护其自身权益。（6） 其他投资方需要提供的业务相关信息等公司成功上市后，公司将按上市规定给[]提供信息。
优先清偿权,公司合并、被收购、出售控股股份、以及出售主要资产，从而导致公司现有股东在占有续存公司已发行股份的比例不高于50%，或公司解散、破产清算时，则[]有权优先获得按照其全部投资额1.2 倍的清偿，全体股东再按照股权比例分配剩余清偿。
监事席位,[]投资完成后，有权向公司指派一名监事。
交割,各方同意尽最大合理的努力在本协议签署后60日内完成谈判并签署正式投资协议等法律文件。
保密,本协议应被视为保密。任何一方（含双方的职员、董事、专业顾问）在未经对方许可的情况下不得披露其条款或包含的内容，以及尽职调查的内容，但应政府或法院的要求而不得不披露本协议信息或尽职调查内容的除外。在未获投资方或公司书面同意情况下，双方均不得将本次投资事项在新闻发布会、行业或专业媒体、市场营销材料以及其他方式中透露给公众。
管辖法律,本投资框架协议及各主要协议受中国法律管辖。如有争议提交深圳仲裁委员会在深圳市仲裁。
其它,为确保公司未来顺利实现IPO，[]在本协议及其他相关交易文件项下所享有的特殊权利及本协议及其他相关交易文件项下其他与IPO规则相抵触的条款应在公司启动IPO程序以后立即终止。但如在特定时间内未完成IPO程序的，该等权利自动恢复。经双方协商达成的投资框架协议中的条款与条件为最终的正式投资协议的主要条款与条件的依据，但并非最终条款。根据进一步的谈判情况，双方同意可以在最终的正式投资协议中对本协议的条款和条件进行进一步的解释和/或增加必要的条款与条件。本协议壹式贰份，甲乙双方各执壹份。
非约束条款,除“管辖法律”、“保密性”及“非约束条款”外，本投资框架协议对相关各方均不具有法律上的约束力。
公司估值,公司在本轮投资后的估值于人民币【2亿元】区间内（以下简称“投资后估值”），包括公司的所有资产、商誉和未分配利润等。估值以最终投资协议为准。
投资金额,投资方拟向公司增资以认购公司新增发的股权（以下简称“本轮投资”）。投资金额不超过人民币【2,000】万元。
交割先决条件,投资对价将在满足下列条件后支付给公司：投资方对业务、财务和法律方面尽职调查结果合理满意；各方已经签署正式的交易文件；实施本轮投资所需的重要第三方同意和公司内部授权已经取得（为免疑义，不包括工商变更登记或备案）；各方另行约定的其他合理交割条件。
陈述与保证,公司和创始股东应在投资的最终正式法律文件中做出令投资方合理满意的，符合一般市场惯例的陈述和保证。
目标交易文件签署日,公司和投资方都应尽力在本投资意向书签署后【30】日内签署本轮投资的交易文件。
保密,本意向书内的所有条款以及条件，包括此投资意向书的存在本身，以及公司或创始股东向投资方提供的任何公司资料、公司信息（无论该等资料的提供是否先于本意向书的签署）均为保密信息，未经其他方同意，任何一方不得向任何其他方披露，法律另有规定或者各方向对其负有同等保密义务的专业顾问或股东披露除外。如果任何一方在法律的要求下需要披露本轮投资意向书，该方应在披露之前与本轮投资意向书项下其他各方就披露进行商讨。
争议解决,因本投资意向书产生或与本意向书有关的任何争议，各方应首先尽力友好协商解决。如无法通过友好协商解决，任何一方均有权将争议提交至公司所在地的法院诉讼解决。
共同出售权,创始股东转让股权（该等股权转让不会导致创始股东丧失对公司的控制权）时，投资方有权按其与创始股东及其他行使共同出售权人的相对持股比例共同出售股权。
反稀释,如果公司以低于本轮购买价格的价格新增公司注册资本，则本轮投资的价格应按照加权平均方式予以调整。
信息权,投资方有权获得公司的日常信息并有权查阅投资交易的有关信息。包括年度财务报告、季度财务报告、财务报表、财务预算等。
赎回权,如发生股东回购事件（股东回购的具体适用情形，由各方另行签署的正式协议予以约定）时，投资方有权要求公司和/或创始股东按以下较高的金额购买其持有的全部或部分公司股权：(i)相当于投资方单位购买价格100%加上【按年化8%的内部收益率】计算的收益；(ii)该等公司股权届时的公允市场价格。创始股东所承担之赎回义务应以其届时持有的公司股权为限。
优先清算权,如果出现任何清算（包括公司的清算、破产及解散等），投资方应有权优先获得等同于投资额100%加上【按年化8%的内部收益率】计算的收益的金额。
排他条款,在本清单签署后【30】个自然日内，公司在与投资方的合作过程中不得单方面与其它投资机构另行谈判或订立本清单下所述的本次投资相关的投资协议或类似协议（公司在签署本投资意向书之前已有过接洽的投资机构以及投资方认可的跟投/领投机构除外）。如双方以书面形式终止本清单的执行，本排他性条款亦自动终止。如双方同意，本排他性条款可延期。
投资额,投资人将投资【 】万人民币认购公司增发的   万元注册资本，占公司注册资本的【15%】。【注：公司为有限公司，无普通股之概念主。】
公司注册资本及估值,本次投资前公司注册资本为人民币   万元，投资方对被投资方的估值为【 】人民币，本次投资后公司的注册资本为人民币     万元，本次投资后公司的估值为【5500万】人民币。
公司股权结构,__投资前及投资后公司的股权结构见附件A。
交割日交割,指投资人认购公司增发股权，公司就此次增资完成工商变更登记之日。交割日前公司应满足本协议约定的交割条件，且不应迟于公司及__签署本投资意向书后第【90】个工作日。投资人认购公司增发股权，公司就此次增资完成工商变更登记。
表决权,投资者股东通过其委派到公司董事会的董事行使对公司事项的表决权。
分红权,受限于中国相关适用法律法规的规定，如果公司决定分配任何税后利润，公司全体股东按照各自对公司的认缴出资比例获得相应的对税后利润的分配权。
收购,若公司在自交割日之后【五】年内仍未完成首次公开发行或被并购，或者公司或其实际控制人严重违反本次投资的交易文件，投资人有权要求现有股东收购投资人所持全部或部分股份，收购价格按照以__投资金额【   】万人民币按年回报率【8％】计算的总额加上所有累计未付的红利（如适用，应在收购之日依股票细分、股票股息、企业重组、资本结构重组、合并而按比例调整）。
清算优先权,受限于中国相关适用法律法规的规定及必要的审批机构批准，当公司发生清算事件时，投资者股东所持有的公司股权应优先于非投资者股东所持有的公司股权获得清算财产分配，__应收到等于对公司的投资金额【   】万人民币按年回报率【10％】计算的价格加上所有累计未付的分红（如适用，应在收购之日依股票细分、股票股息、企业重组、资本结构重组、合并而按比例调整）。完全支付完清算金额后，投资者股东和非投资者股东可按认缴出资比例共同参与公司法定剩余可供分配的资产或资金的分配。本意向书所称清算事件是指：（i）公司解散；(ii)公司发生合并或收购，且在合并或收购后团队股东和投资者股东总共持有公司的股权低于51％（在公司的认股权证完全行权后的基础上计算）；或（iii）公司实质性全部资产的出售。
反稀释保护,在完成本次投资后，公司进行任何一轮新的融资时，如果新一轮融资中每一单位新增注册资本的出售对价低于投资者股东在该新一轮融资前获得任一单位新增注册资本所支付的对价，则公司及现有股东应采取合理的安排按照“加权平均价格”重新计算比例，但为实施员工股权激励向员工转让股权的情形及公司上市发行股份及其他通常的例外情形除外。
转股限制,除投资者股东外的其他股东向公司股东以外的第三方转让股权时，必须经__书面同意。
优先认购权,公司增资时，投资者股东享有按其实缴出资比例认购公司增资额的权利，如发生投资者股东以外的其他任何股东放弃认缴增资的，投资者股东有权按比例优先认缴该放弃部分增资额。
优先受让权,对于除投资方股东以外的公司其他任何股东拟向公司股东以外的第三方转让之股权，投资方股东享有按其在公司的认缴出资比例优先受让的权利。如发生投资者股东以外的其他任何股东放弃认购的，投资者股东有权全部或部份购买其他股东放弃的部分。
跟随出售权,除投资方股东以外的公司其他任何股东向公司股东以外的第三方转让股权时，投资方股东享有跟随出售股权的权利。
投资款用途限制,投资款应专用于公司的主营业务，在未经__方书面同意下，不得用于与公司主营业务无关的任何其它开支，包括但不限于用于偿还负债。如果出现此情况，__有权要求原股东按照本意向书“收购”条款约定的收购条件，收购投资方股东持有公司的全部股权以收回投资。
董事会,交割之后，公司的董事会应由【五】名董事组成。__有权委派【一 】名董事。
董事会会议,公司董事会将按照公司业务实际需要进行召开，但每三个月不得少于一次。【  】名董事(须包括__委派的至少一名董事)亲自出席或委托代理人出席构成董事会会议的法定人数。
股东会一致通过事项,公司的下列事项须经股东会全体股东一致通过方可作出决定：
其他事项,1.股东会其他事项：除上述一致通过事项外的其它事项，须经股东会【二分之一】以上表决权的股东(须包括__)通过方可作出决定，包括：（1）决定公司利润分配方案和弥补亏损方案；（2）公司对外借款、对外担保或其他融资安排。（5）决定公司年度预算、决算方案和年度经营计划；（6）决定关联交易事项；（7）聘请或更换会计师事务所，任何会计准则和会计政策的变化，除非是根据相关法律法规的规定。（8）公司章程规定的其他事项。2.董事会其他事项：须经董事会【二分之一】以上董事(须包括__委派的全体董事)通过方可作出决定，包括：（1）制定公司利润分配方案和弥补亏损方案；（2）决定单项不超过公司净资产5%或连续12个月内累计超过人民币30万元(RMB300,000)以上的资本开支；（3）决定单项出售或处置不超过公司净资产5%或连续12个月内累计超过人民币30万元(RMB300,000)的资产；（4）制定对高级管理人员的奖励方案；（5）决定聘任或解聘总经理、副总经理及其报酬事项； （6） 制定对除高级管理人员外的其它员工的奖励方案；（7）公司章程规定的其他事项。
知情权,只要投资者股东仍然拥有公司的股权，公司有义务按以下安排向每个投资者股东提供相关信息和文件：（i）在每个财务年度结束后的3个月内提供：公司的经过审计的年财务报表，以及公司的管理层对当年业务的报告，包括但不限于公司当年年度、季度、月度花费与当年年度、季度、月度预算的对比；（ii）在每个财务季度结束后的20天内提供：公司的季度财务报表，以及公司的管理层对当季业务的报告；（iii）在每个财务月度结束后的15天内提供：公司的月度财务报表，以及公司的管理层对当月业务的报告，包括但不限于对当月财务数据与公司当年预算数据不相符的关键财务项的说明；（iv）在每个财务年度结束前的30天内提供：公司的下一财务年度的合并预算；（v）公司发给公司任一股东的任何消息或文件。公司向投资者股东提供的全部财务报表均应至少包括当期的损益表、资产负债表、现金流量表，这些财务报表应符合中国会计准则，应当使用中文编写。公司完成股票公开发行后，投资者股东将自动失去上述知情权。
交割条件,交割条件包括：已完成包括本投资意向书所列出的条款所确定的最终协议及其它相应文件的签署和修改，包括但不限于公司章程的修改，以在适用法律及审批机构允许的限度内实现本投资意向书中描述的投资者股东的优先权利；已取得公司审批机构对于本次投资的批准；及__满意的尽职调查的完成。
排他性,自本投资意向书签署之日起的【2】个月内，__交割日之前，公司及其现有股东（包括其各自的代理人、代表以及代表其行事的任何其它人）不应与除投资者股东外的任何其他人就性质类似于本投资意向书所述交易的事宜进行任何实质性接触，或与任何其他人就此作出或继续进行任何实质性商谈、谅解、安排或协议。【注：建议缩短排他期】公司及其现有股东和投资者股东（包括其各自的代理人、代表以及代表其行事的任何其它人）对本次投资事宜严格保密，除为实施本投资意向书所述交易之目的向相关人士披露外，不得向其他任何人披露本投资意向书的条款及其所述交易。未经__事先书面同意，目标公司之管理层股东不得以任何方式受聘于任何其他和目标公司发生直接业务竞争的个人、企业、公司或其他组织；单独或联同其他个人、企业、公司或组织，直接或间接地从事与目标公司发生直接竞争的业务；包括但不限于以高级职员、雇员、合伙人、股东、顾问或以其它身份，直接或间接地在与目标公司相竞争的任何经营主体中拥有权益、进行管理。本保密条款仅针对本意向书的条款及其所述交易，不影响双方另行签署的不披露协议。目标公司须承担在交易完成日之前任何有关目标公司之税务法律责任。双方同意, 如上述情况使__遭受损失，__有权索赔。 交易完成后，目标公司应于每月15日之前向__提交相关财务报表，__或__委派的第三方有权对目标公司的财务进行审计。审计费用由__承担。
完成交易法律效力,双方能否达成最后交易，将依据以下情况： 1)双方同意，并签署正式交易合同；2)解决有关此次交易的财务及法律审计报告所指出的交易障碍；3)双方股东会批准此次交易；本投资意向书代表了双方进行拟议交易的诚信意向，除本第6条款“其它规定”外，对任何一方均不具法律约束力。本投资意向书的目的是列明双方本着诚信原则商谈具有法律效力的最终协议的依据原则。本投资意向书受中华人民共和国法律管辖，并按照其进行解释。公司应承担因本次投资事宜而合理产生的第三方费用（包含法律和审计费用）；如果本次交割未完成，【公司与投资人各自第三方费用】。
投资范围,公司及创始股东承诺，本意向书签订后，向投资人完全披露公司所有关联企业（包括但不限于公司下属控股或参股企业，公司创始股东、董事、高管设立的其他企业）的全部情况。由投资人确定是否纳入投资范围，并在投资人确定投资之前根据投资人的要求完成相应的股权转让等手续（若需）
本轮投资前估值,4.8亿人民币，包括应预留占本轮投后总注册资本至少10%的员工期权
投资金额,本轮投资总金额约为5,000万人民币，其中投资人投资金额为4000万人民币，投资人取得的股权（份）享受优先于现有股东股权（份）的待遇
融资用途,公司应将此轮融资所得资金用于产品开发、团队建设、市场推广，以及经投资人批准的商业计划书中的其他目的
优惠认股权,在公司下一轮融资的时候，投资人有权以该轮融资投资前估值的80%的优惠投资前估值参与该轮投资，但享受该等优惠的投资额不超过1,500万元
创始股东股份限制,未经投资人书面同意，创始股东与关键员工直接或间接持有的公司股权（份）不得转让、赠予、质押、授予期权或做任何其他处分给任何第三方创始股东直接或间接持有的公司股权（份）为受限股份，分期兑现。只要创始股东受雇于公司的持续状态没有终止，创始股东的全部股份将自2017年1月1日起分4年匀速兑现，每年兑现25%。如果创始股东主动终止其与公司的雇佣关系或者服务关系，或者公司出于正当理由终止该等关系，公司或其他创始股东有权以票面价格回购其未兑现的股份
全职工作与竞业禁止,创始股东及关键员工应与公司签订劳动合同，保密、不竞争及知识产权协议，承诺：在公司合格上市满一年或被整体并购之前，全部个人工作时间和精力应服务于公司，不从事其他兼职（无论是否领薪）或经营其他实体（无论是否与公司存在竞争）；在其受雇于公司或持有公司股份期间以及其后2年内，不参与经营任何与公司有竞争的业务
合格上市,指公司股票在中国上海证券交易所、深圳证券交易所或者投资人认可的境外交易所实现首次公开发行，且：公司首次公开发行时市值不低于12亿元人民币；融资额不低于3亿元人民币
董事会组成,公司设立董事会，1名由投资人委派，投资人委派的董事未经投资人书面同意不得被免职或更换
陈述和保证,公司和现有股东应在最终投资文件中向投资人做出标准的陈述和保证
交割条件,本轮投资的交割条件包括但不限于：公司和其各下属机构方面已从现有股东和相关各方处取得的所有批准和同意；投资人完成在法律、财务、业务等方面的尽职调查且结果满意；公司业务、团队等没有发生重大不利变化；投资人完成内部的投资决策流程；最终法律文件已签署并交付；创始股东及关键员工已与公司签订劳动合同、保密、不竞争及知识产权协议；其他合理的惯常的交割条件，包括中国律师出具的法律意见书；投资人根据尽职调查情况增加的其他交割条件
保密,本次投资的条款和条件（包括本意向书中已经存在的条款）应被视为保密信息，在未取得投资人同意的情况下不得向任何第三方披露
费用,在本次融资完成或者公司单方面终止本意向书的情况下，公司应承担投资人所实际发生的法律、财务费用和其他开支（“融资开支”），但合计不超过50万元人民币除上述情况外，各方应各自承担与本意向书项下事宜有关的成本和费用
排他期,非经投资人书面同意，公司及其现有股东、董事、高管、关联企业在本意向书签署后30日内(“排他期”)，不得通过直接或间接方式为公司及其关联企业寻求股权/债务融资（正常银行商业贷款除外），或提供与融资有关信息，或参与相关的谈判和讨论以及签署相关的协议
过渡期交易,本意向书签署后直至本轮投资交割日止，公司应及时书面告知投资人其现有股权结构的变更、非正常业务过程中的交易（包括任何融资安排）以及现金分红等对公司产生重大影响的事项，并与投资人讨论前述事项对公司的影响，以确保公司持续稳定运营
管辖法律适用和争议解决,本意向书受中国法律管辖。因本意向书中具有约束性的规定所产生的或与之相关的任何争议，应提交中国国际经济贸易仲裁委员会在北京通过仲裁解决
约束力,除“投资范围”、“保密”、“费用”、“排他期”、“过渡期交易”、“管辖法律适用和争议解决”之外，本意向书对各方无法律约束力，但应构成对未来各方签署正式投资协议的指引
分红权,未经董事会一致同意不分红。若公司宣布分红，投资人有权与其他股东按照各自持股比例共同获得可分配红利股息的分配
反摊薄保护权,当公司在合格上市前发行股票或股权类及/或可转换证券的每股价格低于本轮融资的每股价格时（经公司董事会批准（包括投资人委派董事同意）的期权计划除外），投资人将享受反摊薄条款的保护，反摊薄条款的调整方式按照广义加权平均方式进行。
优先认购权,投资人在合格上市前有权按持股比例及以同等条件认购公司新发行的证券以保持其全面摊薄前的持股比例。
优先购买权和共售权,受限于创始股东的转股限制性规定，如果创始股东经投资人同意被允许出售其部分或全部股份（“该出售股份”）给第三方，投资人有权自行选择：(i)以和拟受让方同等的条件购买全部或部分该出售股份，或(ii)以和拟受让方为购买股权而提出的同等条件、与拟转让方按比例地出售投资人持有的股权。
清算优先权,若公司发生清算、解散或其他视为清算事件（包括50%以上的已发行股份和/或实质上全部资产出售，对外授权公司全部或实质上全部的知识产权，与其他实体合并，终止经营），投资人有权优先于公司其他现有股东获得一笔相当于原投资额的[120]%加上所有已宣布但未支付的分红及其利息（如有）的金额（“优先金额”）。如在此之前公司已经发生拆股，股息分派，股本架构重组等情况，则投资人的投资总额及股价应事先作相应比例调整。如果投资人在获得优先金额之后，公司仍有剩余财产，则剩余财产在公司所有股东之间按照各自持股比例进行分配。如果届时投资人直接从公司获得优先剩余财产金额存在法律障碍的，则各方应尽最大努力，通过其他合法、合规方式实现投资人的清算优先权
拖售权,如果投资人和董事会批准出售全部或部分股份给第三方，并且该等出售中的公司估值不低于本轮投资后估值的4倍，则投资人有权要求其他股东、其他股东也有义务按照相同的条款和条件出售他们的股份（全部或按相同比例）。如果有股东不同意出售，则其应以不低于第三方的价格和条款购买其他股东的全部股份
赎回权,如果(i)公司未在本轮投资交割日起60个月内完成合格上市且公司有资金可用于赎回，或者(ii)公司或创始股东严重违反交易文件（包括但不限于违反全职服务及不竞争义务、擅自转让公司股份、陈述与保证在重大方面失实、重大承诺事项未能完成），或者(iii)公司或创始股东赎回其他股东持有的公司股份，则投资人有权要求公司以现金方式以合法途径回购投资人所持的部分或全部股份。回购价格的计算公式为： P＝M×（1＋R）^T其中：P为投资人本轮投资获得之全部股权对应的回购价格M为投资人本轮的实际投资额R在上述第(i)种情况下为8%，在上述第(ii)种情况下为15%，在上述第(iii)种情况下与其他获赎回股东的实际赎回利率相同（多个股东要求赎回的，为最高者）T为自本轮投资完成日至投资人执行回购权之日的自然天数除以365
保护性条款,在公司合格上市之前，以下重大事项的履行须经投资人或投资人委派的董事同意。“重大事项”包括但不限于以下事项：（本款所称“公司”包括公司本身及其所有附属子公司）公司的合并、清算、解散或其他视为清算事件（包括50%以上的已发行股份和/或实质上全部资产出售，对外授权公司全部或实质上全部的知识产权，与其他实体合并，终止经营）；终止或改变公司的主要业务；增加、减少公司注册资本或股份，授予或发行任何可转换证券、期权（包括员工期权）或认股权等任何可能导致将来发行新股或造成投资方在公司的有效股权被稀释的行为；赎回公司注册资本或已发行股份；进行利润分配；设定或修改员工期权计划的条款；修改交易文件（包括公司章程）中的投资人权利条款；任免创始股东以外的人士担任董事长、首席执行官；任何关联交易，包括但不限于直接或间接为公司的任何董事或股东提供贷款或预借款，或为其债务提供任何担保、补偿或保证；除在正常业务中从银行或其他金融机构取得贸易贷款外，进行任何借贷或取得任何金融贷款工具；进行任何超过人民币200万元的预算外对外股权投资。如果上述事项中涉及依法需由股东（大）会决策的，则股东（大）会对该等事项的决策需经投资人同意。未经投资人认可，股东（大）会不得通过修改公司章程等形式将议决上述事项的职能从董事会职权中抽离或加以改变。
获得信息权,公司需要向投资人交付：在每一财务年度结束后的90天内提供审计后的年度合并财务报表在每个月结束后的30天内提供未经审计的月度合并财务报表在每个季度结束后的30天内提供未经审计的季度合并财务报表在每个财务年度结束前的45天内提供年度合并预算所有的审计都要根据中国会计准则并由双方认可的会计师事务所执行。投资人应享有标准的检查权（包括但不限于查看公司和其下属机构的全部财务账簿和记录的权利）。
最优惠条款,各方理解，本意向书签署时公司的前轮投资协议尚未向投资人完整披露，如果前轮投资协议中的相关权利优于本意向书所载的相关权利，则投资人有权要求适用该等更优惠的权利条款。
公司估值,公司在本轮投资后的估值不高于人民币2亿元（以下简称“投资后估值”），包括公司的所有资产、商誉和未分配利润等。估值以最终投资协议为准。
投资金额,投资方拟向公司增资以认购公司新增发的股权（以下简称“本轮投资”）。投资金额不超过人民币2,000万元。
交割先决条件,投资对价将在满足下列条件后支付给公司：投资方对业务、财务和法律方面尽职调查结果合理满意；各方已经签署正式的交易文件；实施本轮投资所需的重要第三方同意和公司内部授权已经取得（为免疑义，不包括工商变更登记或备案）；各方另行约定的其他合理交割条件。
陈述与保证,公司和创始股东应在投资的最终正式法律文件中做出令投资方合理满意的，符合一般市场惯例的陈述和保证。
目标交易文件签署日,公司和投资方都应尽力在本投资意向书签署后30日内签署本轮投资的交易文件。
保密,本意向书内的所有条款以及条件，包括此投资意向书的存在本身，以及公司或创始股东向投资方提供的任何公司资料、公司信息（无论该等资料的提供是否先于本意向书的签署）均为保密信息，未经其他方同意，任何一方不得向任何其他方披露，法律另有规定或者各方向对其负有同等保密义务的专业顾问或股东披露除外。如果任何一方在法律的要求下需要披露本轮投资意向书，该方应在披露之前与本轮投资意向书项下其他各方就披露进行商讨。
争议解决,因本投资意向书产生或与本意向书有关的任何争议，各方应首先尽力友好协商解决。如无法通过友好协商解决，任何一方均有权将争议提交至中国广州仲裁委员会按届时该委员会实行的仲裁规则进行仲裁。
共同出售权,创始股东转让股权（该等股权转让不会导致创始股东丧失对公司的控制权）时，投资方有权按其与创始股东及其他行使共同出售权人的相对持股比例共同出售股权。
反稀释,如果公司以低于本轮购买价格的价格新增公司注册资本，则本轮投资的价格应按照加权平均方式予以调整。
信息权,投资方有权获得公司的日常信息并有权查阅投资交易的有关信息。包括年度财务报告、季度财务报告、财务报表、财务预算等。
赎回权,如发生股东回购事件（股东回购的具体适用情形，由各方另行签署的正式协议予以约定）时，投资方有权要求公司和/或创始股东按以下较高的金额购买其持有的全部或部分公司股权：(i)相当于投资方单位购买价格100%加上按年化8%的内部收益率计算的收益；(ii)该等公司股权届时的公允市场价格。创始股东所承担之赎回义务应以其届时持有的公司股权为限。
优先清算权,如果出现任何清算（包括公司的清算、破产及解散等），投资方应有权优先获得等同于投资额100%加上按年化8%的内部收益率计算的收益的金额。
排他条款,在本清单签署后30个自然日内，公司在与投资方的合作过程中不得单方面与其它投资机构另行谈判或订立本清单下所述的本次投资相关的投资协议或类似协议（公司在签署本投资意向书之前已有过接洽的投资机构以及投资方认可的跟投/领投机构除外）。如双方以书面形式终止本清单的执行，本排他性条款亦自动终止。如双方同意，本排他性条款可延期。
投资金额,美金10,000,000元（简称“原购买价”）
股票形式,A轮可赎回可转换型优先股（简称“A轮优先股”）
