投资金额及投资人,投资金额：1200万美元投资人：__及其关联基金
优先清算权,当公司发生任何清算、解散或停止营业时，本轮所有投资人可以优先于__其他股东享有优先清算权，清算价格按以下两者较大者确定：投资方已支付现金投资成本，及应支付但尚未支付给投资方的税后股利（若有）。或，清算时投资方股权所对应的净资产。公司发生以下任一情形：（1）公司出售超过50%的资产或专利技术时（经过公司董事会通过的除外）；（2）核心成员在365天内累计离职人数达到1/2及以上，即视为清算发生。公司的兼并、合并、出售（不包括公司股东持有存续方已发行股票之多数表决权的情形）或公司全部或实质性全部资产的出售应被视作清算、结算或清盘。
反摊薄条款,若__发行任何新股、可转换债或任何期权，且该等新股、可转换债或期权的每股单价（“新低价格”）低于__的原始购买价的单价，则作为一项全面估值反稀释保护措施，__有权以零对价进一步获得__发行的股权，以使得发行该等新股权后__对其所持的__全部股权所支付的每股平均对价相当于新低价格与投资方所支付每股平均对价的加权平均价格（“调整后价格”）。如上述方案因为相应法律规制的原因而不可行，则作为替代方案，投资方有权要求__的创始人股东以零对价向投资方转让其所持有的__股权，以使得转让该等额外股权后，投资方对其持有的目标公司全部股权所支付的每股平均对价相当于调整后价格。股权补偿的计算公式为：应补偿比例 = 投资方对公司的投资总额÷调整后价格-投资方原先持有的股权比例但根据经股东会批准实施的员工激励计划不在此限。以投资协议的约定为准。
董事会席位,公司章程中应规定必须成立董事会，由至多【】名董事组成。投资方有权在__董事会中委派【1】名董事。在本次投资完成后，公司应严格按照《公司法》以及适用之国家相关法律法规规定，建立完善董事会议事规则，确保董事会在公司运营决策方面发挥相应作用。以下重大事项应当由包括投资方所推举的董事在内的董事会批准公司或任何子公司（如有）在正常经营过程以外的（业务或资产）出售、合并、“控制权变更”交易、剥离、重组、清算或停业的相关决策；修改公司的章程或其他章程性文件；增加或减少公司董事会成员的数量以及变更董事会权限出售、转让、许可、抵押公司拥有的任何商标、技术、专利或其他知识产权授权设立、发行或购买公司的任何证券或者可转债；获得任何法人实体的任何股本或其他证券或设立新的业务或新业务品种；增减公司的注册资本；批准、调整或修改涉及公司与其董事或股东关联交易的条款，包括但不限于直接或间接向公司的任何董事或股东提供贷款、提供担保、或为后者的债务承担补偿或保证责任；公司股改、发行证券或其他证券及上市方案。公司章程及董事会决议规定的其他需要全体股东一致同意的事项。
及相关安排,创始人股东应于【】年【】月【】日前，为小懂科技管理层和核心业务骨干团队准备不低于【10】%的股比作为股权激励，具体方案和操作细节由创始人安排。
估值调整条款,本次增资扩股完成后，各方股东、创始人股东和公司共同为公司设定了2019年度实现营业收入【4000】万元人民币的经营目标。上述设定目标中，当公司在2019年的经营指标未达到设定目标的80%，则当年度触发对赌条款。当触发对赌条款时，投资方可选择要求创始人股东以向投资方无偿转股的形式进行补偿，具体补偿股权的计算公式如下：1）当期应补偿股权比例=[(当期承诺营业收入－当期实现营业收入)÷当期承诺营业收入]×本轮投资方认购的股权比例。但创始人股东合计向投资方无偿转股的股权比例不超过本次增资扩股完成后公司总股权的5%。
回购条款,若公司本轮投资交割完成后【6】年内未实现合格的IPO，或，由于实际控制人、创始人股东和标的公司的重大违法违规事件致使标的公司丧失正常生产经营资质并使投资方权益遭受重大损失，或，交割后【5】年内实际控制人离职且投资方仍持有公司股权，投资方有权要求公司以投资成本加不低于年单利8%的价格回购投资方持有的全部或部分公司股权。公司不能回购投资方持有的全部公司股权的，对于公司不能回购的部分，创始人股东及实际控制人应当承担回购责任，但创始人股东及实际控制人承担回购责任以该创始人股东/实际控制人届时所持有的公司股权权益的公允变现价格为上限。
知情权与审查权,投资方享有从公司获取如下信息的权利：（1）在每一会计年度结束后的90天内经审计的年度合并财务报表，须由经投资方认可的适格的会计师事务所审计；（2）在每一会计季度结束后45天内的未经审计的季度合并财务报表；（3）在每月结束后15天内月度经营报表；（4）在每一会计年度结束前30天内完成的年度财务预算；（5）所有送达给公司股东的文件或其他信息的复印件。投资方还享有对公司和其任何分支机构的设备、财务报告及记录的审查权，且有权与公司董事、高管、员工、会计师、法律顾问和投行人士讨论公司及其分支机构的业务、经营、状况等问题。
避免竞争条款,__的全体股东保证在持有股权期间，或在与公司股权存在直接或间接利益冲突的情况下，或在上述期间后的24个月内，不经营从事任何可与目标公司构成直接竞争或可能竞争的业务。
最优条款,如公司任一现有股东的权利优于本轮投资者享有的权利的，则投资方将自动享有该等权利。
合格的,本意向书中“合格的IPO”是指在证券交易市场上公开发行公司股票或其他证券（或者由公司为了上市的目的而合并、重组或其他安排导致与其有关的股票或其他证券）。
排他性条款,根据最终协议和参照本意向书其他文件所规定的条款，公司创始人和实际控制人股东应本着善意与投资方进行一切必要的谈判和商讨。创始人和实际控制人股东承诺自首页所述日期后的【20】个工作日内，就投资方拟投资的金额，不会与任何第三方机构讨论、谈判、考虑或者接受他们就此事或与此相同或类似事项所提供的任何提议或意向。若__本轮融资金额超过投资方拟投金额的，则超出部分不受此条限制。
尽职调查,在签署本投资意向书后，__将按照投资方或其指定关联方及其代表的合理要求提供全部信息和接触权。
费用,如最终完成本项投资，公司应承担投资方为达成本次投资所发生的相关费用，主要包括对公司所进行的法律、财务和商业尽职调查等，最多不超过【15】万人民币。如果未完成本项投资，投资方自身将负担此过程中发生的全部费用，但不负责公司或创始人为此发生的费用。
陈述与保证,1、本协议__和相关股东方的陈述与保证如下：取得监管部门的审批并按期取得有效的营业执照或许可证；无重大诉讼；取得经营所需的所有营业执照或政府许可证明确且充分披露，没有保留或额外的权利负担或负债（已有的或或有的）；明确且充分披露，没有保留或额外的关联交易，包括与股东、董事或雇员之间的交易；对所有资产具有有效的所有权；财务报表准确；没有任何重大不利发展；没有任何雇员涉及可能会影响本公司业务的争端；本公司（除在日常业务中）没有签订任何与本公司有关的重大的、长期性的、不寻常的或繁重的交易；明确且充分披露，创始人股东与实际控制人没有保留或额外的参与其他任何企业的经营。2、在投资方的投资款全部到位的前提下，创始人股东与实际控制人基于自身最大能力和认识范围，特此向投资方作出如下陈述与保证：公司享有无瑕疵的知识产权和核心技术专利；公司不存在因产品和服务质量问题发生重大责任事故的安全隐患。
融资方,__（以下或简称“公司”），是一家注册在中华人民共和国【深圳市】的有限责任公司。融资方在签署本次引入战略投资者的投资框架协议时经工商登记的注册资本为人民币【  】万元，实到注册资本【  】万元。
现有股东,现经工商登记，公司成立于2007年1月9日，__持有公司45%的注册资本，__持有公司45%的注册资本，深圳市云合管理合伙企业（有限合伙）持有公司10%的注册资本。
实际控制人,实际控制人指工商登记为最大股东的“公司”股东，或虽未被登记为“公司”最大股东，但通过投资关系、协议或某种安排能够实际支配公司行为的人，在本协议中指【请填写】。
投资方,由上海彬复投资管理合伙企业（有限合伙）所担任普通合伙人的股权投资基金或其关联方作为领投方（以下简称“彬复资本”），经其同意的其他投资机构或自然人作为跟投方，有意共同作为“投资方”以适当方式投资于融资方。
投资估值及交易方式,彬复资本承诺投资额不超过3,000万元，公司投资估值约6-8亿元人民币。 本次融资的交易方式在投资方完成对融资方的尽职调查后由双方协商最终确定。
业绩承诺,公司承诺2018年经审计的销售额（包含直营、联营、加盟、电商等模式，下同）不低于8亿元；2019年经审计的销售额不低于12亿元，净利润（以符合证监会要求扣除非经常性损益前后孰低，下同）不低于12,000万元；2020年经审计的销售额不低于16亿元，净利润不低于16,000万元。若公司2018年经审计的销售额低于当年承诺销售额，彬复资本有权要求公司及实际控制人根据彬复资本的增资金额，以现金或者股份形式对彬复资本根据实际增资金额进行补偿，补偿原则如下：①  补偿金额=彬复资本增资额*（承诺销售额-2018年实际销售额）/承诺销售额；②  补偿股权比例=彬复资本本轮增资后实际股权比例*（承诺销售额-2018年实际销售额）/实际销售额；若公司2019年经审计的销售额低于当年承诺销售额，或2019年净利润低于当年承诺净利润，彬复资本有权要求公司及实际控制人根据彬复资本的增资金额，以现金或者股份形式对彬复资本根据实际增资金额进行补偿，补偿原则如下：补偿金额=彬复资本增资额*（承诺销售额-2019年实际销售额）/承诺销售额，或 补偿金额=彬复资本增资额*（承诺净利润-2019年实际净利润）/承诺净利润，按上述计算公式结果孰高；补偿股权比例=彬复资本本轮增资后实际股权比例*（承诺销售额-2019年实际销售额）/实际销售额，或补偿股权比例=彬复资本本轮增资后实际股权比例*（承诺净利润-2019年实际净利润）/实际净利润，按上述计算公式结果孰高；若公司2020年经审计的销售额低于当年承诺销售额，或2020年净利润低于当年承诺净利润，彬复资本有权要求公司及实际控制人根据彬复资本的增资金额，以现金或者股份形式对彬复资本根据实际增资金额进行补偿，补偿原则如下：补偿金额=彬复资本增资额*（承诺销售额-2020年实际销售额）/承诺销售额，或 补偿金额=彬复资本增资额*（承诺净利润-2020年实际净利润）/承诺净利润，按上述计算公式结果孰高；②  补偿股权比例=彬复资本本轮增资后实际股权比例*（承诺销售额-2020年实际销售额）/实际销售额，或补偿股权比例=彬复资本本轮增资后实际股权比例*（承诺净利润-2020年实际净利润）/实际净利润，按上述计算公式结果孰高。上述股权比例调整方式为：由实际控制人将其持有的等额于新股东补偿股权比例的公司股权按合计人民币1元的价格转让给新股东，使新股东的持股比例达到相应的股权比例。
回购,（1）  如果遇有下列情形之一，彬复资本有权在知晓下述任一情形发生后提出回购要求，公司承担无限回购责任：公司不能在2023年12月31日之前完成资本市场首发上市；公司的主营业务发生重大变化；公司创始团队发生重大变化，或预计超过六个月以上不能为公司服务；公司现有股东、核心人员从事与公司利益相冲突的工作，且对公司造成了重大损失，或现有股东及公司的陈述及承诺被发现与事实不符导致投资方利益受到严重损害；公司被托管或进入破产程序。（2）  回购款项应在收到彬复资本回购通知后的1个月内支付完毕，逾期应按照央行人民币贷款和存款基准利率支付相应利息。（3）  回购价格为以下两种方式孰高原则计算：①  彬复资本按实际投资总额以年回报率8%计算的投资本金和收益之和（包括支付给投资方税后股利）。公式为：彬复资本实际投资总额×[1+8%×实际天数/365]，实际天数为投资人支付投资款之日起至收到回购款本息之日止；②  彬复资本回购时其股份所对应的净资产金额。
竞业禁止,公司实际控制人承诺，公司实际控制人以及公司核心高管团队（名字见附件一【请提供名单】）在彬复资本投资后5年内，不得从事非公司业务之外的其他任何业务，不得在除公司以外的任何企业任职，不得从事与公司业务相同、相似、相近的业务。如果公司破产清算或有其他重大变故，公司实际控制人需要在履行完本协议所约定的回购义务且获得彬复资本书面同意后从事其他相关业务。
股权激励,在彬复资本正式投资公司前，公司应当制定员工股权激励方案并设立员工持股平台，该员工持股平台占公司股权比例不超过10%。获得股权激励的员工需签署竞业禁止协议，且应与后续的业绩挂钩，该等股权激励方案经董事会全票通过后执行。
资金用途及支付,公司此次融资资金主要用于公司运营和业务扩张所需。 彬复资本的投资资金将按照正式投资协议约定的时间和方式由投资方予以支付。
投资费用,本次融资、尽职调查发生的相关费用在20万元以内由融资方承担。
交易交割条件,彬复资本认可自身或其委托机构已经完成的对公司法律、财务的尽职调查，同时投资交易的达成仍需满足以下条件：（1）  彬复资本拥有公司与本轮其他所有投资方签署的投资条款或任何补充协议一致对等的权力。（2）  投资协议、股东协议和交易主要相关文件已被各相关当事方适当签署。（3）  公司的经营没有发生任何重大不利变化。（4）  依据所有现有适用法律，允许彬复资本认购公司股份。
现有股东义务,在彬复资本进行尽职调查以及签署交易文件之前，现有股东和实际控制人将承担下述义务：（1）  保证公司股东、实际控制人及公司所聘任的管理团队，与其原来所任职的公司不会已存在或存在潜在的任何法律纠纷。（2）  保证公司股东、实际控制人及公司管理团队的原来任职公司与公司不存在潜在的包括但不限于知识产权的任何法律纠纷。（3）  保证过往对公司资产、人员、业务及商业实质的陈述没有在投资方投资过程及行为发生前后发生任何实质性变化。（4）  保证公司的会计凭证记录完整，财务数据的披露真实。（5）  保证公司没有未披露的重大诉讼，承诺公司在所有重大方面没有任何未尽披露的违法行为。（6）  保证公司的主要管理人员、核心技术人员已或将于近期内与公司签订《竞业禁止协议》或与之相当的类似协议，约定在其任职期间内不得从事或帮助他人从事与公司形成竞争关系的任何其它业务经营活动，在离开公司 至少2年内不得在与公司经营业务相关的企业任职。（7）  保证公司没有应披露未披露的信息，以此产生的损失均有现有股东承担。
市场禁售,彬复资本同意接受公司股票在证券交易所上市售股锁定限制，并接受证券监管和相关部门在公司股票上市时对股东就禁售期的约束性要求。同时在公司公开招股之前，未经彬复本同意，公司现有股东（除财务投资者外）、实际控制人不得以任何形式转让其持有的公司及其子公司股份（“回购约定”不受此限制）。
对公司增发股票的优先购买权,彬复资本将有权优先按其所持股份在总股本中所占的比例以相同价格和条件购买公司提供给其他潜在投资者的任何有价权益证券（以下简称“新证券”）。“新证券”不包括：（1）  依据董事会批准的激励协议、股票期权计划、股票红利或奖金或激励合同，可能派发给公司的雇员、董事、承包商、顾问的普通股（和/或期权或权证）；（2）  董事会批准的派发给战略合作者的普通股和/或优先股（和/或期权或权证）；（3）  董事会批准发行的与公司收购其他实体或他们的主要资产相关的普通股和/或优先股（和/或期权或权证）以及（4）  与股票拆分、股票红利、资本重构或类似交易有关而发行的普通股和/或优先股（和/或期权或权证）。本优先购股份在公开招股前一日终止。公司承诺，本次融资后如公司再融资，且该等增资由除本协议所述投资方之外的第三方认购，公司的估值不能低于本轮融资估值。
优先承购权和共同出售权协议,如任何现有股东或实际控制人或本轮新进入投资人经投资方同意可以对外转让股份的，在同等价格和条件下，彬复资本拥有优先受让该部分股份的权利。自双方达成一致意见之日起终止。若公司与其它投资人达成的投资协议与本条款不一致，应以本协议条款为准。针对现有股东、实际控制人向与其非关联的第三方出让股份且彬复资本放弃优先购买权的行使，则彬复资本将有权以相同的交易条件，向该第三方出售其所持有的公司股份。投资方根据本款所可以共售的公司股份数额为：彬复资本所持有的公司股份数额 ×（现有股东出售的公司股份／该现有股东所持公司股份总额）。自双方达成一致意见之日起终止。如果上述该等股权出售将导致公司实际控制人发生变化，则彬复资本有权要求将彬复资本所持有的全部公司股份数额转让给受让方。
一般反稀释,各方同意，若公司增发股份类证券且增发时公司的估值低于彬复资本本次投资时对公司的估值或新的投资者根据某种协议或安排的最终投资价格低于本协议彬复资本的投资价格的，则彬复资本有权要求公司根据新的投资价格调整新股东股份比例，直至与新的投资者价格与彬复资本本次投资时价格的加权平均价格一致。如届时依据法律规定公司无法履行前述义务的，实际控制人承诺承担无限连带责任。各方同意，投资完成后，如公司给予任一现有股东享有的权利优于本协议投资方享有的权利的，则本协议投资方将自动享有该等权利。
信息知情权,彬复资本有权得到公司及其附属企业的财务信息，包括：（1）  每日历月度最后一日起15天内，提供月度合并管理帐，含利润表、资产负债表和现金流量表及经营管理重大事项通报；（2）  每日历季度最后一日起30天内，提供季度合并管理帐，含利润表、资产负债表和现金流量表及经营管理重大事项通报；（3）  每日历年结束后45天内，提供公司的年度合并管理帐，及经营管理重大事项通报；（4）  每日历年结束后120天内，提供公司的年度合并并经由投资方认可的会计师事务所按照中国会计准则审计的年度财务报告；（5）  每日历年/财务年度结束前至少30天，提供公司的年度经营计划；按照投资方要求的格式提供其它统计数据、其它交易和财务信息，以便他们被适当告知公司信息及保护其自身权益。（6） 其他投资方需要提供的业务相关信息等公司成功上市后，公司将按上市规定给彬复资本提供信息。
优先清偿权,公司合并、被收购、出售控股股份、以及出售主要资产，从而导致公司现有股东在占有续存公司已发行股份的比例不高于50%，或公司解散、破产清算时，则彬复资本有权优先获得按照其全部投资额1.2 倍的清偿，全体股东再按照股权比例分配剩余清偿。
监事席位,彬复资本投资完成后，有权向公司指派一名监事。
交割,各方同意尽最大合理的努力在本协议签署后60日内完成谈判并签署正式投资协议等法律文件。
保密,本协议应被视为保密。任何一方（含双方的职员、董事、专业顾问）在未经对方许可的情况下不得披露其条款或包含的内容，以及尽职调查的内容，但应政府或法院的要求而不得不披露本协议信息或尽职调查内容的除外。在未获投资方或公司书面同意情况下，双方均不得将本次投资事项在新闻发布会、行业或专业媒体、市场营销材料以及其他方式中透露给公众。
管辖法律,本投资框架协议及各主要协议受中国法律管辖。如有争议提交深圳仲裁委员会在深圳市仲裁。
其它,为确保公司未来顺利实现IPO，彬复资本在本协议及其他相关交易文件项下所享有的特殊权利及本协议及其他相关交易文件项下其他与IPO规则相抵触的条款应在公司启动IPO程序以后立即终止。但如在特定时间内未完成IPO程序的，该等权利自动恢复。经双方协商达成的投资框架协议中的条款与条件为最终的正式投资协议的主要条款与条件的依据，但并非最终条款。根据进一步的谈判情况，双方同意可以在最终的正式投资协议中对本协议的条款和条件进行进一步的解释和/或增加必要的条款与条件。本协议壹式贰份，甲乙双方各执壹份。
非约束条款,除“管辖法律”、“保密性”及“非约束条款”外，本投资框架协议对相关各方均不具有法律上的约束力。
融资方__（公章）,投资方代表：上海彬复投资投资管理合伙企业（有限合伙）（公章）  
法定代表人,授权代表：
公司,【】（以下简称“公司”）
投资方,【】或其指定关联方（以下或简称“投资方”）
主要股东,
创始股东,
公司估值,公司在本轮投资后的估值于人民币【2亿元】区间内（以下简称“投资后估值”），包括公司的所有资产、商誉和未分配利润等。估值以最终投资协议为准。
投资金额,投资方拟向公司增资以认购公司新增发的股权（以下简称“本轮投资”）。投资金额不超过人民币【2,000】万元。
交割先决条件,投资对价将在满足下列条件后支付给公司：投资方对业务、财务和法律方面尽职调查结果合理满意；各方已经签署正式的交易文件；实施本轮投资所需的重要第三方同意和公司内部授权已经取得（为免疑义，不包括工商变更登记或备案）；各方另行约定的其他合理交割条件。
陈述与保证,公司和创始股东应在投资的最终正式法律文件中做出令投资方合理满意的，符合一般市场惯例的陈述和保证。
目标交易文件签署日,公司和投资方都应尽力在本投资意向书签署后【30】日内签署本轮投资的交易文件。
保密,本意向书内的所有条款以及条件，包括此投资意向书的存在本身，以及公司或创始股东向投资方提供的任何公司资料、公司信息（无论该等资料的提供是否先于本意向书的签署）均为保密信息，未经其他方同意，任何一方不得向任何其他方披露，法律另有规定或者各方向对其负有同等保密义务的专业顾问或股东披露除外。如果任何一方在法律的要求下需要披露本轮投资意向书，该方应在披露之前与本轮投资意向书项下其他各方就披露进行商讨。
争议解决,因本投资意向书产生或与本意向书有关的任何争议，各方应首先尽力友好协商解决。如无法通过友好协商解决，任何一方均有权将争议提交至公司所在地的法院诉讼解决。
共同出售权,创始股东转让股权（该等股权转让不会导致创始股东丧失对公司的控制权）时，投资方有权按其与创始股东及其他行使共同出售权人的相对持股比例共同出售股权。
反稀释,如果公司以低于本轮购买价格的价格新增公司注册资本，则本轮投资的价格应按照加权平均方式予以调整。
信息权,投资方有权获得公司的日常信息并有权查阅投资交易的有关信息。包括年度财务报告、季度财务报告、财务报表、财务预算等。
赎回权,如发生股东回购事件（股东回购的具体适用情形，由各方另行签署的正式协议予以约定）时，投资方有权要求公司和/或创始股东按以下较高的金额购买其持有的全部或部分公司股权：(i)相当于投资方单位购买价格100%加上【按年化8%的内部收益率】计算的收益；(ii)该等公司股权届时的公允市场价格。创始股东所承担之赎回义务应以其届时持有的公司股权为限。
优先清算权,如果出现任何清算（包括公司的清算、破产及解散等），投资方应有权优先获得等同于投资额100%加上【按年化8%的内部收益率】计算的收益的金额。
排他条款,在本清单签署后【30】个自然日内，公司在与投资方的合作过程中不得单方面与其它投资机构另行谈判或订立本清单下所述的本次投资相关的投资协议或类似协议（公司在签署本投资意向书之前已有过接洽的投资机构以及投资方认可的跟投/领投机构除外）。如双方以书面形式终止本清单的执行，本排他性条款亦自动终止。如双方同意，本排他性条款可延期。
投资方,__ (“__”)
被投资方,__（“公司”）
现有股东,
投资额,投资人将投资【 】万人民币认购公司增发的   万元注册资本，占公司注册资本的【15%】。【注：公司为有限公司，无普通股之概念主。】
公司注册资本及估值,本次投资前公司注册资本为人民币   万元，投资方对被投资方的估值为【 】人民币，本次投资后公司的注册资本为人民币     万元，本次投资后公司的估值为【5500万】人民币。
公司股权结构,__投资前及投资后公司的股权结构见附件A。
交割日交割,指投资人认购公司增发股权，公司就此次增资完成工商变更登记之日。交割日前公司应满足本协议约定的交割条件，且不应迟于公司及__签署本投资意向书后第【90】个工作日。投资人认购公司增发股权，公司就此次增资完成工商变更登记。
表决权,投资者股东通过其委派到公司董事会的董事行使对公司事项的表决权。 
分红权,受限于中国相关适用法律法规的规定，如果公司决定分配任何税后利润，公司全体股东按照各自对公司的认缴出资比例获得相应的对税后利润的分配权。
收购,若公司在自交割日之后【五】年内仍未完成首次公开发行或被并购，或者公司或其实际控制人严重违反本次投资的交易文件，投资人有权要求现有股东收购投资人所持全部或部分股份，收购价格按照以__投资金额【   】万人民币按年回报率【8％】计算的总额加上所有累计未付的红利（如适用，应在收购之日依股票细分、股票股息、企业重组、资本结构重组、合并而按比例调整）。
清算优先权,受限于中国相关适用法律法规的规定及必要的审批机构批准，当公司发生清算事件时，投资者股东所持有的公司股权应优先于非投资者股东所持有的公司股权获得清算财产分配，__应收到等于对公司的投资金额【   】万人民币按年回报率【10％】计算的价格加上所有累计未付的分红（如适用，应在收购之日依股票细分、股票股息、企业重组、资本结构重组、合并而按比例调整）。完全支付完清算金额后，投资者股东和非投资者股东可按认缴出资比例共同参与公司法定剩余可供分配的资产或资金的分配。本意向书所称清算事件是指：（i）公司解散；(ii)公司发生合并或收购，且在合并或收购后团队股东和投资者股东总共持有公司的股权低于51％（在公司的认股权证完全行权后的基础上计算）；或（iii）公司实质性全部资产的出售。
反稀释保护,在完成本次投资后，公司进行任何一轮新的融资时，如果新一轮融资中每一单位新增注册资本的出售对价低于投资者股东在该新一轮融资前获得任一单位新增注册资本所支付的对价，则公司及现有股东应采取合理的安排按照“加权平均价格”重新计算比例，但为实施员工股权激励向员工转让股权的情形及公司上市发行股份及其他通常的例外情形除外。
转股限制,除投资者股东外的其他股东向公司股东以外的第三方转让股权时，必须经__书面同意。
优先认购权,公司增资时，投资者股东享有按其实缴出资比例认购公司增资额的权利，如发生投资者股东以外的其他任何股东放弃认缴增资的，投资者股东有权按比例优先认缴该放弃部分增资额。
优先受让权,对于除投资方股东以外的公司其他任何股东拟向公司股东以外的第三方转让之股权，投资方股东享有按其在公司的认缴出资比例优先受让的权利。如发生投资者股东以外的其他任何股东放弃认购的，投资者股东有权全部或部份购买其他股东放弃的部分。
跟随出售权,除投资方股东以外的公司其他任何股东向公司股东以外的第三方转让股权时，投资方股东享有跟随出售股权的权利。
投资款用途限制,投资款应专用于公司的主营业务，在未经__方书面同意下，不得用于与公司主营业务无关的任何其它开支，包括但不限于用于偿还负债。如果出现此情况，__有权要求原股东按照本意向书“收购”条款约定的收购条件，收购投资方股东持有公司的全部股权以收回投资。
董事会,交割之后，公司的董事会应由【五】名董事组成。__有权委派【一 】名董事。
董事会会议,公司董事会将按照公司业务实际需要进行召开，但每三个月不得少于一次。【  】名董事(须包括__委派的至少一名董事)亲自出席或委托代理人出席构成董事会会议的法定人数。
股东会一致通过事项,公司的下列事项须经股东会全体股东一致通过方可作出决定： 
其他事项,1.股东会其他事项：除上述一致通过事项外的其它事项，须经股东会【二分之一】以上表决权的股东(须包括__)通过方可作出决定，包括：（1）决定公司利润分配方案和弥补亏损方案；（2）公司对外借款、对外担保或其他融资安排。（5）决定公司年度预算、决算方案和年度经营计划；（6）决定关联交易事项；（7）聘请或更换会计师事务所，任何会计准则和会计政策的变化，除非是根据相关法律法规的规定。（8）公司章程规定的其他事项。2.董事会其他事项：须经董事会【二分之一】以上董事(须包括__委派的全体董事)通过方可作出决定，包括：（1）制定公司利润分配方案和弥补亏损方案；（2）决定单项不超过公司净资产5%或连续12个月内累计超过人民币30万元(RMB300,000)以上的资本开支；（3）决定单项出售或处置不超过公司净资产5%或连续12个月内累计超过人民币30万元(RMB300,000)的资产；（4）制定对高级管理人员的奖励方案；（5）决定聘任或解聘总经理、副总经理及其报酬事项； （6） 制定对除高级管理人员外的其它员工的奖励方案；（7）公司章程规定的其他事项。
知情权,只要投资者股东仍然拥有公司的股权，公司有义务按以下安排向每个投资者股东提供相关信息和文件：（i）在每个财务年度结束后的3个月内提供：公司的经过审计的年财务报表，以及公司的管理层对当年业务的报告，包括但不限于公司当年年度、季度、月度花费与当年年度、季度、月度预算的对比；（ii）在每个财务季度结束后的20天内提供：公司的季度财务报表，以及公司的管理层对当季业务的报告；（iii）在每个财务月度结束后的15天内提供：公司的月度财务报表，以及公司的管理层对当月业务的报告，包括但不限于对当月财务数据与公司当年预算数据不相符的关键财务项的说明；（iv）在每个财务年度结束前的30天内提供：公司的下一财务年度的合并预算；（v）公司发给公司任一股东的任何消息或文件。公司向投资者股东提供的全部财务报表均应至少包括当期的损益表、资产负债表、现金流量表，这些财务报表应符合中国会计准则，应当使用中文编写。公司完成股票公开发行后，投资者股东将自动失去上述知情权。
交割条件,交割条件包括：已完成包括本投资意向书所列出的条款所确定的最终协议及其它相应文件的签署和修改，包括但不限于公司章程的修改，以在适用法律及审批机构允许的限度内实现本投资意向书中描述的投资者股东的优先权利；已取得公司审批机构对于本次投资的批准；及__满意的尽职调查的完成。
其他规定排他性保密性不竞争保证其他保证交易完成后财务监管,自本投资意向书签署之日起的【2】个月内，__交割日之前，公司及其现有股东（包括其各自的代理人、代表以及代表其行事的任何其它人）不应与除投资者股东外的任何其他人就性质类似于本投资意向书所述交易的事宜进行任何实质性接触，或与任何其他人就此作出或继续进行任何实质性商谈、谅解、安排或协议。【注：建议缩短排他期】公司及其现有股东和投资者股东（包括其各自的代理人、代表以及代表其行事的任何其它人）对本次投资事宜严格保密，除为实施本投资意向书所述交易之目的向相关人士披露外，不得向其他任何人披露本投资意向书的条款及其所述交易。未经__事先书面同意，目标公司之管理层股东不得以任何方式受聘于任何其他和目标公司发生直接业务竞争的个人、企业、公司或其他组织；单独或联同其他个人、企业、公司或组织，直接或间接地从事与目标公司发生直接竞争的业务；包括但不限于以高级职员、雇员、合伙人、股东、顾问或以其它身份，直接或间接地在与目标公司相竞争的任何经营主体中拥有权益、进行管理。本保密条款仅针对本意向书的条款及其所述交易，不影响双方另行签署的不披露协议。目标公司须承担在交易完成日之前任何有关目标公司之税务法律责任。双方同意, 如上述情况使__遭受损失，__有权索赔。 交易完成后，目标公司应于每月15日之前向__提交相关财务报表，__或__委派的第三方有权对目标公司的财务进行审计。审计费用由__承担。
完成交易法律效力管辖法律费用,双方能否达成最后交易，将依据以下情况： 1)双方同意，并签署正式交易合同；2)解决有关此次交易的财务及法律审计报告所指出的交易障碍；3)双方股东会批准此次交易；本投资意向书代表了双方进行拟议交易的诚信意向，除本第6条款“其它规定”外，对任何一方均不具法律约束力。本投资意向书的目的是列明双方本着诚信原则商谈具有法律效力的最终协议的依据原则。本投资意向书受中华人民共和国法律管辖，并按照其进行解释。公司应承担因本次投资事宜而合理产生的第三方费用（包含法律和审计费用）；如果本次交割未完成，【公司与投资人各自第三方费用】。
__, % %
otal,100%100%
融资方,__，一家根据中国法律设立的公司
创始股东,
投资人,__管理的基金，或其一个或多个关联方
投资范围,公司及创始股东承诺，本意向书签订后，向投资人完全披露公司所有关联企业（包括但不限于公司下属控股或参股企业，公司创始股东、董事、高管设立的其他企业）的全部情况。由投资人确定是否纳入投资范围，并在投资人确定投资之前根据投资人的要求完成相应的股权转让等手续（若需）
本轮投资前估值,4.8亿人民币，包括应预留占本轮投后总注册资本至少10%的员工期权
投资金额,本轮投资总金额约为5,000万人民币，其中投资人投资金额为4000万人民币，投资人取得的股权（份）享受优先于现有股东股权（份）的待遇
融资用途,公司应将此轮融资所得资金用于产品开发、团队建设、市场推广，以及经投资人批准的商业计划书中的其他目的
优惠认股权,在公司下一轮融资的时候，投资人有权以该轮融资投资前估值的80%的优惠投资前估值参与该轮投资，但享受该等优惠的投资额不超过1,500万元
